   p;   T;   v;   S;   I;   U;   M;  Cp;   k; Cp';  k';  Ap;  Bv;  Gt; MMg;  Rg; Cpg;  kg;Cp'g; k'g;  Mu;  Lt; Lt';  Pr; Pr';   A;   z;  Bm;O;O2;H;H2;OH;HO2;H2O;H2O2;Cl;Cl2;ClO;ClO2;Cl2O;HCl;HOCl;N;N2;N3;NO;NO2;N2O;N2O3;NH;NH2;NH3;N2H2;N2H4;HN3;HNO;HNO2;HNO3;NH3O;N2H2O2;ClNO;ClNO2;C;C2;C3;CO;CO2;C2O;C3O2;CH;CH2;CH3;CH4;C2H;C2H2;C2H3;C2H4;C2H5;C3H;CHO;CHO2;CH2O;CH2O2;CH3O;CH4O;C2H4O2;CCl;CCl2;CCl3;C2Cl;C2Cl2;ClCO;Cl2CO;CHCl;CH2Cl;CH3Cl;CHCl2;CH2Cl2;CHCl3;C2HCl;C2H3Cl;HClCO;CN;CN2;C2N;C2N2;NCO;HCN;HNC;C2HN;C3HN;N2C;ClCN;Al;Al2;AlO2;Al2O;Al2O2;Al2O3(c);Al2O3;AlH;AlH2;AlH3;AlOH;HAlO;HAlO2;AlO2H2;AlO3H3;AlCl;AlCl2;AlCl3;Al2Cl6;AlOCl;AlOCl2;AlHCl;AlH2Cl;AlHCl2;AlOHCl;AlO2H2Cl;AlOHCl2;AlN;AlC;AlC2;Al2C2;O3;e-;O+;O-;O2+;O2-;H+;H-;H2+;H3+;OH+;OH-;HO2-;H2O+;H3O+;Cl-;N2+;NO+;NO2+;NO2-;NO3-;NH+;NH4+;C-;C2-;CO+;CO2+;CHO+;CN-;Al+;AlO-;AlO2-;AlO
1.45;3640.15;0.712568;9.773;-527.6;-1476.2;37.1778;1.79578;1.18773;6.26844;1.16466;0.0005012;0.0004793;7.3514E-07;20.2152;411.292;1.88474;1.27914;5.52535;1.20399;0.0000911;0.358024;1.86219;0.479753;0.270404;1072.82;0.30988;0.0417827;0.145102;0.0186434;3.24814;6.95747;0.540745;0.0000765;2.3606;8.21891E-06;0.199869;0.0000304;0.0001338;1.76561E-09;2.441E-10;0.654351;0.0000401;0.0018495;8.24299;5.32805E-09;0.0871711;6.91017E-06;0.0000109;2.71923E-13;0.0011706;0.000231;0.0001078;2.9985E-08;2.64741E-12;1.6549E-09;0.0000795;9.48759E-07;1.44562E-11;2.5762E-09;2.59972E-15;1.0296E-06;6.98484E-12;8.75838E-07;5.24553E-11;2.29617E-14;10.3997;0.41361;6.577E-08;1.98606E-11;2.84016E-07;2.50694E-07;2.89999E-07;4.94043E-08;1.37123E-09;4.9745E-09;8.20397E-12;6.68883E-13;1.05886E-15;7.4264E-13;0.0006343;0.0000391;0.0000131;3.62407E-06;4.44274E-10;3.68588E-13;3.48582E-15;6.85312E-08;5.66799E-11;4.91564E-15;2.2286E-12;1.77844E-14;0.0000104;6.99672E-10;5.60211E-09;3.93256E-09;2.07849E-10;2.05283E-11;5.44436E-13;1.81198E-15;1.79337E-11;8.95756E-15;2.21696E-07;0.0000145;7.55526E-08;1.33928E-10;1.66618E-10;1.89139E-06;0.0002027;1.49403E-06;2.35006E-11;3.36202E-13;1.83465E-06;1.97556E-07;0.101986;0.0000156;0.0007562;0.09517;0.0038485;3.03919;0.0000295;0.0098872;0.0000847;8.3931E-08;0.265035;0.0001116;0.0022308;0.0102786;0.0000323;0.209908;0.0054172;0.0000255;2.96242E-15;0.0134152;0.0000366;0.0013291;1.37039E-06;0.0000135;0.01539;0.0001383;0.0001818;0.0001291;2.63219E-08;1.24575E-11;2.59413E-13;1.13922E-10;0.0001376;8.46912E-14;1.13264E-06;3.02697E-12;1.8396E-08;2.20335E-12;1.97342E-06;1.79587E-13;1.58486E-11;6.72147E-12;4.91422E-06;1.24282E-09;1.80344E-10;1.12801E-08;0.0004084;4.66781E-14;2.22174E-08;7.52342E-14;8.93873E-10;5.49964E-14;2.24863E-14;1.14786E-11;2.44785E-12;1.913E-13;7.26845E-12;2.89806E-12;3.89565E-09;1.38288E-07;0.0008237;0.0002662;3.40827E-06;0.128515
1.6;3653.52;0.647195;9.74508;-527.6;-1478.61;37.1302;1.79621;1.18736;6.1628;1.16431;0.0004948;0.0004736;6.65645E-07;20.2388;410.812;1.88544;1.27859;5.43194;1.20434;0.0000914;0.358784;1.82925;0.480088;0.271284;1074.25;0.310077;0.0417343;0.139738;0.0179548;3.18272;6.98071;0.533781;0.0000777;2.37018;8.63072E-06;0.196055;0.0000313;0.000135;1.83869E-09;2.62013E-10;0.657626;0.0000417;0.0018655;8.24326;5.91584E-09;0.0864844;7.03012E-06;0.0000114;3.02604E-13;0.0012219;0.0002493;0.000119;3.42171E-08;3.29729E-12;1.90192E-09;0.0000833;0.000001003;1.56779E-11;2.96252E-09;3.08415E-15;1.08711E-06;7.57505E-12;9.40081E-07;6.2019E-11;2.94805E-14;10.4002;0.413021;7.52568E-08;2.42938E-11;3.16279E-07;2.86293E-07;3.38749E-07;5.93463E-08;1.64919E-09;6.07076E-09;1.05659E-11;8.85504E-13;1.48498E-15;9.72995E-13;0.0006804;0.0000421;0.0000145;4.02453E-06;5.2717E-10;4.60222E-13;4.63084E-15;7.58325E-08;6.52608E-11;5.94178E-15;2.70001E-12;2.22342E-14;0.0000112;7.88217E-10;6.42833E-09;4.64139E-09;2.52269E-10;2.44481E-11;6.6924E-13;2.27148E-15;2.21426E-11;1.19868E-14;2.47838E-07;0.0000158;8.63898E-08;1.62144E-10;2.05029E-10;2.0635E-06;0.0002245;1.68771E-06;2.94789E-11;4.49939E-13;2.07359E-06;2.21866E-07;0.0998653;0.0000162;0.0007499;0.094423;0.0038182;3.04113;0.0000297;0.0100963;0.000091;9.46349E-08;0.266376;0.0001151;0.0022538;0.0107526;0.000035;0.209337;0.0056007;0.0000272;3.69505E-15;0.0134106;0.0000383;0.0014008;1.5168E-06;0.0000147;0.0160128;0.0001491;0.0001951;0.0001348;2.92584E-08;1.50421E-11;3.21405E-13;1.17877E-10;0.0001331;9.02302E-14;1.13594E-06;3.16648E-12;1.86757E-08;2.38827E-12;2.03058E-06;2.03954E-13;1.80395E-11;7.28221E-12;5.0302E-06;1.30818E-09;1.98087E-10;1.245E-08;0.0004067;5.28958E-14;2.31725E-08;8.09985E-14;9.36603E-10;5.87484E-14;2.58245E-14;1.36812E-11;2.74202E-12;2.29897E-13;8.07995E-12;3.21065E-12;4.33698E-09;1.52699E-07;0.0008163;0.0002648;3.41218E-06;0.125932
1.75;3665.67;0.592906;9.71969;-527.6;-1480.8;37.0871;1.79661;1.18701;6.06786;1.16399;0.0004891;0.0004684;6.08109E-07;20.2599;410.385;1.8861;1.27809;5.34835;1.20467;0.0000916;0.359482;1.7996;0.480389;0.272112;1075.54;0.31027;0.0416876;0.134954;0.0173392;3.12367;7.00188;0.527335;0.0000787;2.3787;9.01886E-06;0.192605;0.0000322;0.000136;1.90626E-09;2.79295E-10;0.66061;0.0000431;0.0018793;8.24353;6.50456E-09;0.0858298;7.13639E-06;0.0000119;3.33186E-13;0.0012702;0.0002672;0.0001302;3.85793E-08;4.02625E-12;2.15814E-09;0.0000869;1.05447E-06;1.68654E-11;3.36319E-09;3.60082E-15;1.14172E-06;8.14941E-12;1.00222E-06;7.22107E-11;3.70078E-14;10.4007;0.412457;8.50651E-08;2.91872E-11;3.48715E-07;3.23034E-07;3.9025E-07;7.01459E-08;1.95082E-09;7.27905E-09;1.33051E-11;1.14358E-12;2.02101E-15;1.24447E-12;0.0007252;0.0000449;0.000016;4.42703E-06;6.15937E-10;5.63242E-13;5.99819E-15;8.31303E-08;7.41829E-11;7.05986E-15;3.21496E-12;2.72474E-14;0.0000121;8.78428E-10;7.2848E-09;5.3972E-09;3.00966E-10;2.8662E-11;8.07639E-13;2.79031E-15;2.68309E-11;1.56313E-14;2.7429E-07;0.0000171;9.75867E-08;1.92945E-10;2.47682E-10;2.23318E-06;0.0002462;1.88567E-06;3.62341E-11;5.86833E-13;2.3179E-06;2.46584E-07;0.097925;0.0000168;0.0007435;0.0936932;0.0037882;3.04302;0.0000299;0.0102862;0.0000972;1.0552E-07;0.267498;0.0001183;0.0022737;0.0111986;0.0000377;0.208766;0.0057723;0.0000289;4.51889E-15;0.0134016;0.00004;0.001469;1.6632E-06;0.0000158;0.0165971;0.0001597;0.000208;0.0001402;3.21965E-08;1.78516E-11;3.90448E-13;1.21452E-10;0.0001291;9.54737E-14;1.13787E-06;3.2953E-12;1.89126E-08;2.56789E-12;2.08265E-06;2.28813E-13;2.02868E-11;7.82596E-12;5.13443E-06;1.36927E-09;2.15612E-10;1.36158E-08;0.000405;5.92254E-14;2.40616E-08;8.65446E-14;9.76305E-10;6.231E-14;2.92661E-14;1.6051E-11;3.03785E-12;2.7162E-13;8.89122E-12;3.52187E-12;4.78063E-09;1.67057E-07;0.0008093;0.0002632;3.41255E-06;0.123554
1.9;3676.81;0.547095;9.69643;-527.6;-1482.8;37.0478;1.79698;1.1867;5.98175;1.1637;0.0004839;0.0004637;5.59693E-07;20.2789;410;1.88672;1.27764;5.27283;1.20498;0.0000917;0.360127;1.77269;0.480661;0.272896;1076.73;0.310458;0.0416425;0.130648;0.0167838;3.0699;7.02132;0.521331;0.0000796;2.38635;9.3863E-06;0.189458;0.000033;0.0001369;1.96906E-09;2.96006E-10;0.663348;0.0000444;0.0018915;8.24378;7.09385E-09;0.0852047;7.23126E-06;0.0000123;3.63643E-13;0.0013158;0.0002848;0.0001415;4.30628E-08;4.83581E-12;2.42298E-09;0.0000903;1.10348E-06;1.80212E-11;3.77731E-09;4.14847E-15;1.19377E-06;8.70916E-12;1.06248E-06;8.30091E-11;4.55922E-14;10.4011;0.411917;9.51749E-08;3.45435E-11;3.81296E-07;3.60844E-07;4.44405E-07;8.1797E-08;2.27583E-09;8.60003E-09;1.64423E-11;1.44657E-12;2.6824E-15;1.55995E-12;0.0007688;0.0000476;0.0000174;4.83136E-06;7.10422E-10;6.7789E-13;7.60664E-15;9.04226E-08;8.34267E-11;8.26894E-15;3.77315E-12;3.28379E-14;0.0000129;9.70177E-10;8.16973E-09;6.19867E-09;3.53939E-10;3.31635E-11;9.59767E-13;3.37006E-15;3.20054E-11;1.99485E-14;3.01028E-07;0.0000184;1.09121E-07;2.26312E-10;2.94627E-10;2.4006E-06;0.0002681;2.0876E-06;4.37877E-11;7.49058E-13;2.56721E-06;2.71681E-07;0.0961374;0.0000173;0.0007373;0.0929821;0.0037588;3.04486;0.00003;0.0104599;0.0001031;1.16567E-07;0.268442;0.0001213;0.0022911;0.0116204;0.0000404;0.2082;0.0059337;0.0000305;5.4361E-15;0.0133894;0.0000416;0.0015342;1.80956E-06;0.000017;0.0171481;0.0001701;0.0002205;0.0001452;3.51342E-08;2.08826E-11;4.66599E-13;1.24703E-10;0.0001255;1.00452E-13;1.13873E-06;3.41481E-12;1.91143E-08;2.74262E-12;2.13039E-06;2.54109E-13;2.2586E-11;8.35398E-12;5.22876E-06;1.42659E-09;2.32927E-10;1.47776E-08;0.0004033;6.56535E-14;2.48936E-08;9.18917E-14;1.01336E-09;6.57004E-14;3.28013E-14;1.85848E-11;3.33493E-12;3.16396E-13;9.70165E-12;3.83158E-12;5.22624E-09;1.8136E-07;0.0008025;0.0002617;3.41018E-06;0.121352
2.05;3687.1;0.507914;9.67496;-527.6;-1484.63;37.0116;1.79733;1.18641;5.90307;1.16344;0.0004791;0.0004595;5.1839E-07;20.2962;409.651;1.88731;1.27723;5.20407;1.20528;0.0000919;0.360727;1.74808;0.48091;0.273641;1077.82;0.31064;0.0415989;0.126741;0.0162789;3.02059;7.0393;0.515712;0.0000804;2.39327;9.73544E-06;0.186566;0.0000338;0.0001376;2.02769E-09;3.12198E-10;0.665878;0.0000457;0.0019022;8.24402;7.68347E-09;0.0846067;7.3165E-06;0.0000127;3.93953E-13;0.0013592;0.0003019;0.0001527;4.76603E-08;5.72738E-12;2.69595E-09;0.0000935;1.15032E-06;1.91476E-11;4.20408E-09;4.72595E-15;1.24355E-06;9.25535E-12;1.12101E-06;9.43947E-11;5.52801E-14;10.4016;0.411399;1.05569E-07;4.03651E-11;4.14001E-07;3.99663E-07;5.01128E-07;9.42944E-08;2.62395E-09;1.00343E-08;1.99975E-11;1.79792E-12;3.48524E-15;1.92231E-12;0.0008113;0.0000503;0.0000189;5.23734E-06;8.10488E-10;8.04394E-13;9.47481E-15;9.77076E-08;9.29752E-11;9.56814E-15;4.3743E-12;3.90187E-14;0.0000136;1.06335E-09;9.08157E-09;7.0446E-09;4.11189E-10;3.7947E-11;1.12575E-12;4.01219E-15;3.76729E-11;2.49957E-14;3.28029E-07;0.0000197;1.20973E-07;2.62227E-10;3.4591E-10;2.56593E-06;0.0002901;2.29325E-06;5.21596E-11;9.38793E-13;2.82119E-06;2.97132E-07;0.0944805;0.0000178;0.0007312;0.0922901;0.00373;3.04665;0.0000301;0.0106197;0.0001089;1.27763E-07;0.26924;0.000124;0.0023065;0.0120207;0.000043;0.207639;0.0060861;0.0000321;6.4487E-15;0.0133747;0.0000431;0.0015966;1.95583E-06;0.0000181;0.0176699;0.0001802;0.0002328;0.00015;3.80698E-08;2.4132E-11;5.49905E-13;1.27674E-10;0.0001221;1.05191E-13;1.13873E-06;3.52613E-12;1.92866E-08;2.9128E-12;2.1744E-06;2.79795E-13;2.49329E-11;8.86741E-12;5.31464E-06;1.48059E-09;2.50038E-10;1.59353E-08;0.0004017;7.21685E-14;2.56754E-08;9.70562E-14;1.04809E-09;6.89354E-14;3.64219E-14;2.12794E-11;3.63292E-12;3.64159E-13;1.05108E-11;4.13967E-12;5.67355E-09;1.95607E-07;0.0007961;0.0002601;3.40567E-06;0.119302
2.2;3696.64;0.474017;9.65503;-527.6;-1486.33;36.9782;1.79766;1.18614;5.83072;1.16319;0.0004747;0.0004555;4.82742E-07;20.312;409.333;1.88786;1.27685;5.14104;1.20556;0.0000921;0.361287;1.72542;0.481138;0.274352;1078.83;0.310818;0.0415568;0.123172;0.0158171;2.97508;7.05602;0.51043;0.0000811;2.39958;0.0000101;0.183892;0.0000345;0.0001383;2.08265E-09;3.27914E-10;0.66823;0.0000469;0.0019116;8.24425;8.27318E-09;0.0840334;7.39351E-06;0.0000131;4.24102E-13;0.0014004;0.0003188;0.000164;5.23651E-08;6.70228E-12;2.97662E-09;0.0000966;1.19519E-06;2.02466E-11;4.6428E-09;5.33222E-15;1.29128E-06;9.78891E-12;1.17797E-06;1.0635E-10;6.61161E-14;10.402;0.410901;1.16233E-07;4.66544E-11;4.46813E-07;4.39434E-07;5.60343E-07;1.07634E-07;2.99493E-09;1.15824E-08;2.39902E-11;2.20105E-12;4.44626E-15;2.33433E-12;0.0008528;0.0000529;0.0000204;5.64484E-06;9.16009E-10;9.42964E-13;1.16213E-14;1.04984E-07;1.02813E-10;1.09567E-14;5.01814E-12;4.58022E-14;0.0000144;1.15786E-09;1.00189E-08;7.93394E-09;4.72719E-10;4.30071E-11;1.30571E-12;4.71808E-15;4.38394E-11;3.08303E-14;3.55276E-07;0.0000209;1.33125E-07;3.00672E-10;4.01576E-10;2.72931E-06;0.0003121;2.50239E-06;6.13688E-11;1.15823E-12;3.07957E-06;3.22915E-07;0.0929371;0.0000182;0.0007252;0.0916173;0.0037018;3.04839;0.0000302;0.0107676;0.0001145;1.39094E-07;0.269916;0.0001266;0.0023201;0.0124021;0.0000456;0.207086;0.0062308;0.0000336;7.55859E-15;0.013358;0.0000445;0.0016566;2.10199E-06;0.0000192;0.018166;0.0001902;0.0002447;0.0001545;4.10019E-08;2.75967E-11;6.40407E-13;1.30399E-10;0.0001191;1.09712E-13;1.13805E-06;3.6302E-12;1.94343E-08;3.07873E-12;2.21516E-06;3.05828E-13;2.73241E-11;9.36722E-12;5.39323E-06;1.53161E-09;2.66954E-10;1.7089E-08;0.0004;7.87606E-14;2.64128E-08;1.02052E-13;1.08076E-09;7.20289E-14;4.01208E-14;2.41321E-11;3.93154E-12;4.14846E-13;1.13182E-11;4.44609E-12;6.12231E-09;2.09798E-07;0.0007899;0.0002585;3.39946E-06;0.117385
2.35;3705.54;0.4444;9.63643;-527.6;-1487.92;36.9471;1.79797;1.18589;5.76382;1.16297;0.0004707;0.0004518;4.51663E-07;20.3265;409.04;1.88838;1.2765;5.08293;1.20582;0.0000922;0.361813;1.70445;0.481348;0.275032;1079.77;0.310991;0.0415161;0.119894;0.0153921;2.93284;7.07165;0.505446;0.0000817;2.40535;0.0000104;0.181408;0.0000352;0.0001389;2.13433E-09;3.43192E-10;0.670425;0.0000481;0.00192;8.24447;8.86282E-09;0.083483;7.46341E-06;0.0000135;4.54078E-13;0.0014399;0.0003353;0.0001753;5.71715E-08;7.76175E-12;3.26459E-09;0.0000996;1.23829E-06;2.132E-11;5.09286E-09;5.96632E-15;1.33717E-06;1.03106E-11;1.23348E-06;1.18859E-10;7.81429E-14;10.4024;0.410422;1.27152E-07;5.34135E-11;4.79717E-07;4.80111E-07;6.21981E-07;1.2181E-07;3.38853E-09;1.3245E-08;2.84395E-11;2.65938E-12;5.58284E-15;2.79876E-12;0.0008935;0.0000555;0.0000218;6.05373E-06;1.02687E-09;1.0938E-12;1.40644E-14;1.12251E-07;1.12928E-10;1.24337E-14;5.70441E-12;5.32E-14;0.0000152;1.25363E-09;1.09806E-08;8.86571E-09;5.38532E-10;4.83392E-11;1.49976E-12;5.48905E-15;5.05109E-11;3.75101E-14;3.82751E-07;0.0000222;1.45563E-07;3.41631E-10;4.61667E-10;2.89086E-06;0.0003342;2.71483E-06;7.14331E-11;1.40956E-12;3.3421E-06;3.49009E-07;0.0914928;0.0000186;0.0007194;0.0909633;0.0036743;3.05009;0.0000303;0.0109049;0.00012;1.5055E-07;0.270489;0.000129;0.0023323;0.0127664;0.0000481;0.206542;0.0063685;0.0000351;8.76759E-15;0.0133397;0.0000459;0.0017144;2.24802E-06;0.0000203;0.0186391;0.0001999;0.0002564;0.0001587;4.39294E-08;3.12737E-11;7.38142E-13;1.32909E-10;0.0001163;1.14034E-13;1.13681E-06;3.72779E-12;1.95609E-08;3.24069E-12;2.25307E-06;3.32175E-13;2.97564E-11;9.85429E-12;5.46547E-06;1.57995E-09;2.83682E-10;1.82386E-08;0.0003984;8.54214E-14;2.71105E-08;1.06892E-13;1.11157E-09;7.49927E-14;4.38916E-14;2.71402E-11;4.23056E-12;4.68398E-13;1.21237E-11;4.75079E-12;6.57233E-09;2.23934E-07;0.000784;0.0002569;3.39191E-06;0.115585
2.5;3713.87;0.418297;9.619;-527.6;-1489.39;36.9181;1.79827;1.18565;5.70165;1.16275;0.0004669;0.0004484;4.24328E-07;20.34;408.769;1.88888;1.27618;5.02907;1.20607;0.0000924;0.362309;1.68494;0.481543;0.275684;1080.65;0.311159;0.0414766;0.116866;0.0149992;2.89347;7.08631;0.500728;0.0000823;2.41067;0.0000107;0.179088;0.0000358;0.0001394;2.18308E-09;3.58065E-10;0.672485;0.0000492;0.0019276;8.24469;9.45223E-09;0.0829536;7.52713E-06;0.0000138;4.83872E-13;0.0014776;0.0003516;0.0001866;6.20743E-08;8.90696E-12;3.55954E-09;0.0001024;1.27978E-06;2.23693E-11;5.55369E-09;6.62739E-15;1.38138E-06;1.08213E-11;1.28766E-06;1.31906E-10;9.14021E-14;10.4028;0.40996;1.38316E-07;6.06445E-11;5.127E-07;5.2165E-07;6.85978E-07;1.3682E-07;3.80455E-09;1.50225E-08;3.33637E-11;3.17631E-12;6.91295E-15;3.31833E-12;0.0009333;0.000058;0.0000233;6.46391E-06;1.14297E-09;1.25708E-12;1.68226E-14;1.19508E-07;1.23307E-10;1.39986E-14;6.43287E-12;6.12233E-14;0.0000159;1.35057E-09;1.19655E-08;9.83903E-09;6.08628E-10;5.39387E-11;1.708E-12;6.32635E-15;5.76928E-11;4.50927E-14;4.10442E-07;0.0000234;1.58273E-07;3.85088E-10;5.26222E-10;3.05068E-06;0.0003564;2.93039E-06;8.23698E-11;1.69499E-12;3.60855E-06;3.75399E-07;0.0901362;0.000019;0.0007136;0.0903275;0.0036475;3.05173;0.0000304;0.011033;0.0001253;1.6212E-07;0.270975;0.0001313;0.0023431;0.0131153;0.0000506;0.206006;0.0064999;0.0000365;1.00774E-14;0.0133203;0.0000472;0.0017702;2.3939E-06;0.0000214;0.0190916;0.0002095;0.0002679;0.0001628;4.68514E-08;3.51605E-11;8.43137E-13;1.35228E-10;0.0001136;1.18174E-13;1.13511E-06;3.81955E-12;1.96695E-08;3.39892E-12;2.28846E-06;3.58805E-13;3.22272E-11;1.03294E-11;5.53214E-06;1.62587E-09;3.00228E-10;1.93842E-08;0.0003968;9.21438E-14;2.77727E-08;1.11587E-13;1.14071E-09;7.78371E-14;4.7729E-14;3.03014E-11;4.52978E-12;5.24761E-13;1.2927E-11;5.05373E-12;7.02344E-09;2.38015E-07;0.0007782;0.0002553;3.38328E-06;0.113889
2.65;3721.71;0.395116;9.6026;-527.6;-1490.78;36.8909;1.79855;1.18543;5.64363;1.16256;0.0004634;0.0004452;4.00101E-07;20.3525;408.519;1.88936;1.27587;4.97893;1.20631;0.0000925;0.362778;1.66672;0.481725;0.276312;1081.48;0.311322;0.0414384;0.114057;0.0146343;2.85662;7.10013;0.496249;0.0000828;2.41559;0.000011;0.176914;0.0000365;0.0001399;2.22918E-09;3.72561E-10;0.674423;0.0000502;0.0019343;8.24489;1.00413E-08;0.0824437;7.58541E-06;0.0000142;5.1348E-13;0.0015139;0.0003677;0.0001979;6.7069E-08;1.0139E-11;3.86114E-09;0.0001051;1.31978E-06;2.3396E-11;6.02481E-09;7.31461E-15;1.42406E-06;1.13215E-11;1.34059E-06;1.45478E-10;1.05933E-13;10.4032;0.409513;1.49713E-07;6.83493E-11;5.45752E-07;5.64012E-07;7.52277E-07;1.52661E-07;4.24276E-09;1.69154E-08;3.87809E-11;3.75525E-12;8.45515E-15;3.89569E-12;0.0009724;0.0000605;0.0000248;6.87528E-06;1.26421E-09;1.433E-12;1.99142E-14;1.26754E-07;1.3394E-10;1.56507E-14;7.2033E-12;6.98826E-14;0.0000166;1.44862E-09;1.29727E-08;1.08531E-08;6.83011E-10;5.98017E-11;1.93052E-12;7.23115E-15;6.53905E-11;5.3636E-14;4.38335E-07;0.0000246;1.71243E-07;4.31029E-10;5.9528E-10;3.20887E-06;0.0003787;3.14892E-06;9.41949E-11;2.01673E-12;3.87873E-06;4.02068E-07;0.0888574;0.0000194;0.0007081;0.0897095;0.0036213;3.05333;0.0000304;0.0111529;0.0001306;1.73796E-07;0.271387;0.0001334;0.0023528;0.0134503;0.000053;0.20548;0.0066258;0.000038;1.14897E-14;0.0133;0.0000485;0.0018242;2.53962E-06;0.0000225;0.0195253;0.0002189;0.0002792;0.0001667;4.97673E-08;3.92544E-11;9.5542E-13;1.37376E-10;0.0001112;1.22144E-13;1.13304E-06;3.90605E-12;1.97624E-08;3.55363E-12;2.3216E-06;3.8569E-13;3.4734E-11;1.07933E-11;5.59388E-06;1.66957E-09;3.16599E-10;2.05259E-08;0.0003952;9.89212E-14;2.84026E-08;1.16146E-13;1.16834E-09;8.05711E-14;5.16278E-14;3.36136E-11;4.82905E-12;5.83883E-13;1.37278E-11;5.35491E-12;7.4755E-09;2.5204E-07;0.0007727;0.0002537;3.37378E-06;0.112285
2.8;3729.11;0.374392;9.58712;-527.6;-1492.09;36.8653;1.79882;1.18522;5.58928;1.16237;0.0004601;0.0004422;3.7848E-07;20.3641;408.285;1.88982;1.27558;4.93208;1.20655;0.0000926;0.363223;1.64963;0.481895;0.276916;1082.26;0.311481;0.0414014;0.11144;0.014294;2.82198;7.11319;0.491985;0.0000833;2.42016;0.0000113;0.174868;0.000037;0.0001403;2.27289E-09;3.86706E-10;0.676254;0.0000512;0.0019404;8.24509;1.06299E-08;0.081952;7.6389E-06;0.0000145;5.42896E-13;0.0015488;0.0003834;0.0002092;7.21515E-08;1.14589E-11;4.16912E-09;0.0001077;1.35842E-06;2.44012E-11;6.50576E-09;8.02722E-15;1.46532E-06;1.18118E-11;1.39235E-06;1.59563E-10;1.21776E-13;10.4036;0.409082;1.61333E-07;7.65298E-11;5.78861E-07;6.07163E-07;8.20826E-07;1.69329E-07;4.70298E-09;1.89244E-08;4.47089E-11;4.39957E-12;1.02286E-14;4.5335E-12;0.0010107;0.0000629;0.0000263;7.28776E-06;1.3905E-09;1.62171E-12;2.33573E-14;1.33989E-07;1.44817E-10;1.73892E-14;8.01546E-12;7.91881E-14;0.0000173;1.54773E-09;1.40011E-08;1.19071E-08;7.61684E-10;6.59241E-11;2.16744E-12;8.20459E-15;7.3609E-11;6.31982E-14;4.66419E-07;0.0000258;1.84462E-07;4.79439E-10;6.68876E-10;3.36553E-06;0.000401;3.37028E-06;1.06924E-10;2.377E-12;4.15246E-06;4.29002E-07;0.0876483;0.0000198;0.0007026;0.0891083;0.0035958;3.05489;0.0000304;0.0112655;0.0001357;1.85571E-07;0.271733;0.0001354;0.0023615;0.0137726;0.0000554;0.204963;0.0067465;0.0000394;1.30061E-14;0.0132789;0.0000497;0.0018765;2.68517E-06;0.0000235;0.0199421;0.0002281;0.0002903;0.0001704;5.26764E-08;4.35529E-11;1.07501E-12;1.39371E-10;0.0001089;1.25959E-13;1.13066E-06;3.98777E-12;1.98418E-08;3.70501E-12;2.35272E-06;4.12808E-13;3.72748E-11;1.12465E-11;5.65122E-06;1.71126E-09;3.32799E-10;2.16637E-08;0.0003936;1.05748E-13;2.90033E-08;1.20577E-13;1.1946E-09;8.32027E-14;5.55838E-14;3.70746E-11;5.12821E-12;6.45714E-13;1.45262E-11;5.65432E-12;7.92838E-09;2.66011E-07;0.0007674;0.0002521;3.36359E-06;0.110765
